ablated_strategy,noise_rate,posterior_threshold,cases_per_seed,seeds,full_accuracy,ablated_accuracy,accuracy_difference,accuracy_difference_ci_low,accuracy_difference_ci_high,full_average_questions,ablated_average_questions,question_difference,question_difference_ci_low,question_difference_ci_high,full_brier_score,ablated_brier_score,brier_improvement,brier_improvement_ci_low,brier_improvement_ci_high,full_only_correct,ablated_only_correct,mcnemar_max_p
unknown_as_negative,0.2,0.7,4836,3,0.7736421284808381,0.638268541494348,0.1353735869864902,0.12586159360352908,0.14412737799834574,6.9584367245657575,3.7655776123518057,3.192859112213951,3.1000809897987316,3.2804866280672726,0.3494746062987116,0.6080453896605369,0.25857078336182526,0.24455301013490063,0.2718512098858464,2763,799,1.6227442742165514e-83
unknown_as_negative,0.2,0.8,4836,3,0.7935621725944307,0.6632892197408327,0.13027295285359802,0.12110387372484145,0.13930245381858283,7.563688999172871,4.105527984560243,3.4581610146126276,3.362829128756548,3.5542614419630554,0.3133128674773951,0.5930992801740148,0.27978641269661964,0.26549244167813063,0.29435847475967475,2688,798,9.463277369542623e-79
unknown_as_negative,0.2,0.85,4836,3,0.8014888337468982,0.6716294458229942,0.12985938792390406,0.12096601874827681,0.13881996140060654,8.016956162117452,4.281499862145023,3.7354562999724292,3.6404587124345187,3.830931210366695,0.2942072536489176,0.5874868564511708,0.29327960280225324,0.27790644995755287,0.308267906383625,2677,793,3.520688151924109e-75
unknown_as_negative,0.2,0.9,4836,3,0.8112765370829887,0.6852770885028949,0.12599944858009374,0.11690102012682656,0.13447925282602702,8.617659222497933,4.554177005789909,4.063482216708024,3.967948717948718,4.161514336917563,0.27130479730468565,0.5729520521289695,0.3016472548242839,0.2867629696841004,0.31662707656479516,2650,822,9.813084110991473e-73
unknown_as_negative,0.2,0.95,4836,3,0.8205128205128206,0.6986490212296664,0.1218637992831541,0.11297043010752686,0.13082437275985662,9.395092362834298,4.8687620623104495,4.526330300523849,4.428513578715193,4.624724290046871,0.24897678343552743,0.5553312614498417,0.3063544780143143,0.29149415213931723,0.32115868475611237,2606,838,7.644345213710168e-67
unknown_as_negative,0.3,0.6,4836,3,0.6609456851392336,0.5420457678522195,0.11889991728701406,0.1093189964157706,0.12813620071684587,6.609525778880617,3.5214364488558036,3.088089330024814,3.002116073890267,3.1749465811965814,0.5188996663814597,0.7460576193570935,0.22715795297563376,0.21270316477272855,0.2410366737835827,2797,1072,1.8507135078768732e-51
unknown_as_negative,0.3,0.7,4836,3,0.6855527984560243,0.5638268541494348,0.12172594430658946,0.1118003859939344,0.1315136476426799,7.395092362834298,3.7256685966363388,3.6694237661979594,3.577472773642128,3.7611111111111106,0.48162338375453867,0.7446993909673266,0.2630760072127879,0.24835201626172065,0.2770348953584159,2853,1087,2.58858747555643e-54
unknown_as_negative,0.3,0.8,4836,3,0.7049214226633582,0.5802315963606287,0.12468982630272953,0.11490212296663911,0.13427247036118,8.122553074165976,4.104287289771161,4.018265784394816,3.9181813482216703,4.118257168458781,0.44782212446345554,0.7470043924672778,0.29918226800382225,0.2840053239932523,0.3147292417195509,2890,1081,1.2689979290434117e-58
unknown_as_negative,0.3,0.85,4836,3,0.7109870416322028,0.5863661428177557,0.1246208988144472,0.11496932726771436,0.13475668596636337,8.563482216708023,4.276330300523849,4.2871519161841745,4.190922249793217,4.386628067273229,0.4312160484168275,0.7468495495864769,0.3156335011696495,0.30041843451021555,0.3324835704980788,2892,1084,7.809155428157586e-58
unknown_as_negative,0.3,0.9,4836,3,0.7215329473393989,0.598014888337469,0.12351805900192996,0.11414219740832643,0.13289219740832645,9.227460711331679,4.549352081610146,4.678108629721533,4.58167735042735,4.776847256685966,0.40471029913277995,0.7387807506797491,0.3340704515469691,0.317790931951709,0.3507404921996265,2882,1090,3.160314207305025e-54
